id,focus,signal,slack,drag,confidence,score,lane
l001,rename risk,35,33,6,25,158,ship
l002,operator cost,35,34,6,55,219,ship
l003,idempotence,35,35,6,85,280,ship
l004,dry-run spread,35,36,18,25,101,hold
l005,rename risk,35,37,18,55,162,ship
l006,operator cost,35,38,18,85,223,ship
l007,idempotence,35,39,34,25,24,hold
l008,dry-run spread,35,40,34,55,85,hold
l009,rename risk,35,41,34,85,146,watch
l010,operator cost,60,42,6,25,242,ship
l011,idempotence,60,43,6,55,303,ship
l012,dry-run spread,60,44,6,85,364,ship
l013,rename risk,60,45,18,25,185,ship
l014,operator cost,60,46,18,55,246,ship
l015,idempotence,60,47,18,85,307,ship
l016,dry-run spread,60,48,34,25,108,hold
l017,rename risk,60,32,34,55,152,watch
l018,operator cost,60,33,34,85,213,ship
l019,idempotence,85,34,6,25,309,ship
l020,dry-run spread,85,35,6,55,370,ship
l021,rename risk,85,36,6,85,431,ship
l022,operator cost,85,37,18,25,252,ship
l023,idempotence,85,38,18,55,313,ship
l024,dry-run spread,85,39,18,85,374,ship
l025,rename risk,85,40,34,25,175,ship
l026,operator cost,85,41,34,55,236,ship
l027,idempotence,85,42,34,85,297,ship
